#{"t_start": 1787330953.0356958, "env_id": "HandManipulateBlockRotateZ-v1"}
r,l,t
-100.0,100,3.614336
-100.0,100,4.082543
-100.0,100,4.547548
-100.0,100,5.009886
-100.0,100,5.474043
-100.0,100,5.940053
-100.0,100,6.459857
-100.0,100,6.920141
-100.0,100,7.390316
-100.0,100,7.852584
-100.0,100,8.315151
-100.0,100,8.79483
-100.0,100,9.264188
-96.0,100,9.741732
-100.0,100,10.235744
-100.0,100,10.78034
-100.0,100,11.340245
-100.0,100,11.919758
-100.0,100,12.490132
-100.0,100,13.059175
-100.0,100,13.657067
-100.0,100,14.322689
-100.0,100,14.930038
-100.0,100,15.536376
-100.0,100,16.139338
-100.0,100,16.747054
-100.0,100,17.344235
-100.0,100,17.958135
-100.0,100,18.561527
-100.0,100,19.165868
-100.0,100,19.745108
-100.0,100,20.346268
-100.0,100,20.941922
-100.0,100,21.617391
-100.0,100,22.215584
-100.0,100,22.828413
-100.0,100,23.440417
-95.0,100,24.048389
-100.0,100,24.64908
-100.0,100,25.32147
-100.0,100,27.736564
-100.0,100,28.23235
-100.0,100,28.772212
-100.0,100,29.316797
-100.0,100,29.891452
-100.0,100,30.48964
-100.0,100,31.075125
-100.0,100,31.68525
-100.0,100,32.378822
-100.0,100,33.020331
-100.0,100,33.685236
-100.0,100,34.27974
-93.0,100,34.981237
-100.0,100,35.591923
-100.0,100,36.209679
-100.0,100,36.824325
-100.0,100,37.431341
-98.0,100,38.045271
-100.0,100,38.685852
-100.0,100,39.314296
-100.0,100,39.990579
-100.0,100,40.573086
-98.0,100,41.196468
-96.0,100,41.813755
-100.0,100,42.440933
-100.0,100,43.065927
-100.0,100,43.652106
-100.0,100,44.324682
-100.0,100,44.923035
-97.0,100,45.532301
-100.0,100,46.143666
-100.0,100,46.751984
-100.0,100,47.443115
-100.0,100,48.055885
-100.0,100,48.652415
-100.0,100,49.256078
-100.0,100,49.880235
-100.0,100,50.480074
-100.0,100,51.081137
-100.0,100,51.724798
-100.0,100,52.378493
-100.0,100,54.535395
-100.0,100,55.039543
-100.0,100,55.575794
-100.0,100,56.126673
-100.0,100,56.692736
-100.0,100,57.262424
-98.0,100,57.843565
-100.0,100,58.420475
-99.0,100,59.015889
-100.0,100,59.606958
-100.0,100,60.362352
-100.0,100,60.947954
-100.0,100,61.512809
-100.0,100,62.127477
-100.0,100,62.692977
-100.0,100,63.343262
-100.0,100,63.964979
-100.0,100,64.531548
-100.0,100,65.108702
-100.0,100,65.73777
-100.0,100,66.332586
-100.0,100,66.933127
-100.0,100,67.648095
-100.0,100,68.281265
-100.0,100,68.898303
-100.0,100,69.503497
-88.0,100,70.100115
-100.0,100,70.744133
-100.0,100,71.363699
-100.0,100,71.951913
-100.0,100,72.548283
-100.0,100,73.153062
-100.0,100,73.836665
-100.0,100,74.546021
-100.0,100,75.180121
-100.0,100,75.809844
-100.0,100,76.445359
-100.0,100,77.102374
-99.0,100,77.685632
-100.0,100,78.276139
-100.0,100,78.874797
-100.0,100,80.978076
-100.0,100,81.457256
-100.0,100,81.984145
-100.0,100,82.558367
-100.0,100,83.145732
-100.0,100,83.719222
-100.0,100,84.307585
-100.0,100,84.917841
-100.0,100,85.57489
-100.0,100,86.180945
-100.0,100,86.820721
-100.0,100,87.482076
-100.0,100,88.023437
-100.0,100,88.590362
-100.0,100,89.126357
-100.0,100,89.69241
-100.0,100,90.286894
-100.0,100,90.886964
-100.0,100,91.520937
