#{"t_start": 1787311566.162663, "env_id": "HandManipulateBlockRotateZ-v1"}
r,l,t
-100.0,100,2.487107
-100.0,100,2.61784
-100.0,100,2.760038
-100.0,100,2.894442
-100.0,100,3.034214
-100.0,100,3.172828
-100.0,100,3.315956
-100.0,100,3.44843
-100.0,100,3.583544
-100.0,100,3.717427
-100.0,100,3.846408
-96.0,100,3.979245
-100.0,100,4.144362
-100.0,100,4.278445
-100.0,100,4.412062
-100.0,100,4.542855
-100.0,100,4.680779
-100.0,100,4.814042
-100.0,100,4.949881
-100.0,100,5.086569
-100.0,100,5.225136
-100.0,100,5.360155
-100.0,100,5.496115
-94.0,100,5.6289
-100.0,100,5.767791
-100.0,100,5.909747
-100.0,100,6.040516
-100.0,100,6.173001
-100.0,100,6.311061
-100.0,100,6.442641
-100.0,100,6.571209
-100.0,100,6.701998
-100.0,100,6.83664
-97.0,100,6.980964
-100.0,100,7.119534
-100.0,100,7.25249
-100.0,100,7.392844
-100.0,100,7.527527
-100.0,100,7.660601
-100.0,100,7.797659
-100.0,100,7.937387
-100.0,100,8.066548
-100.0,100,8.200652
-100.0,100,8.331859
-100.0,100,8.467361
-95.0,100,8.598737
-100.0,100,8.727953
-100.0,100,8.859984
-100.0,100,8.995938
-100.0,100,9.138792
-100.0,100,9.269953
-100.0,100,9.39813
-100.0,100,9.53332
-100.0,100,9.666688
-100.0,100,9.797932
-93.0,100,9.933473
-100.0,100,10.078962
-100.0,100,10.211705
-100.0,100,10.345713
-100.0,100,10.474654
-100.0,100,10.611793
-100.0,100,10.740878
-100.0,100,10.877816
-100.0,100,11.011069
-100.0,100,11.151159
-100.0,100,11.287178
-100.0,100,11.419585
-100.0,100,11.550974
-100.0,100,11.688939
-100.0,100,11.823482
-100.0,100,11.961419
-100.0,100,12.095521
-100.0,100,12.231612
-92.0,100,12.363853
-100.0,100,12.497823
-100.0,100,12.632658
-100.0,100,12.80075
-100.0,100,12.933212
-100.0,100,13.065454
-100.0,100,13.201233
-100.0,100,13.350549
-100.0,100,13.479546
-100.0,100,13.612903
-100.0,100,13.744961
-100.0,100,13.885418
-100.0,100,14.020869
-100.0,100,14.15675
-100.0,100,14.292027
-100.0,100,14.433965
-100.0,100,14.567236
-100.0,100,14.699492
-100.0,100,14.838472
-100.0,100,14.977944
-100.0,100,15.111808
-100.0,100,15.247341
-100.0,100,15.385029
-100.0,100,15.543508
-100.0,100,15.690917
-100.0,100,15.825375
-100.0,100,15.953432
-100.0,100,17.966329
-100.0,100,19.349827
-100.0,100,20.804807
-100.0,100,22.213635
-100.0,100,23.706442
-95.0,100,25.24554
-100.0,100,26.61589
-100.0,100,28.091638
-100.0,100,29.515054
-100.0,100,30.928418
-100.0,100,32.377702
-100.0,100,33.894135
-96.0,100,35.463582
-100.0,100,36.902438
-100.0,100,38.322228
-100.0,100,39.751794
-100.0,100,41.198978
-100.0,100,42.781206
-100.0,100,44.346665
-100.0,100,45.773814
-100.0,100,47.062646
-94.0,100,48.366914
-100.0,100,49.90486
-100.0,100,51.492421
-100.0,100,53.0516
-100.0,100,54.529626
-100.0,100,55.863929
-100.0,100,57.342744
-100.0,100,58.711257
-100.0,100,60.334591
-100.0,100,61.904775
-100.0,100,63.402236
-100.0,100,64.644845
-100.0,100,65.937583
-100.0,100,67.324612
-100.0,100,68.919613
-100.0,100,70.325434
-98.0,100,71.986554
-100.0,100,73.436641
-100.0,100,74.870868
-100.0,100,76.361538
-100.0,100,77.829417
-100.0,100,79.320719
-100.0,100,80.736339
-100.0,100,82.282814
-100.0,100,83.668264
-100.0,100,85.167558
-100.0,100,86.555954
-100.0,100,88.100457
-100.0,100,89.623486
-98.0,100,91.055627
-100.0,100,92.535181
-100.0,100,93.906798
-100.0,100,95.392751
-100.0,100,96.822673
-100.0,100,98.579783
-100.0,100,100.413025
-100.0,100,101.816396
-100.0,100,103.185177
-100.0,100,104.426097
-100.0,100,106.051498
-100.0,100,107.669929
-100.0,100,109.336539
-100.0,100,110.771357
-100.0,100,112.099913
-100.0,100,113.326516
-100.0,100,114.700674
-100.0,100,116.213273
-100.0,100,117.807927
-100.0,100,119.280395
-100.0,100,120.65672
-100.0,100,122.002622
-100.0,100,123.434389
-100.0,100,125.048188
-98.0,100,126.648621
-100.0,100,128.183866
-100.0,100,129.67371
-100.0,100,131.139283
-100.0,100,132.724749
-100.0,100,134.150641
-100.0,100,135.715132
-100.0,100,137.308885
-100.0,100,138.842875
-100.0,100,140.248918
-100.0,100,141.79724
-100.0,100,143.393971
-100.0,100,144.972336
-100.0,100,146.73259
-100.0,100,148.270228
-100.0,100,149.804701
-100.0,100,151.314603
-100.0,100,152.934335
-100.0,100,154.712558
-100.0,100,156.35612
-100.0,100,157.779571
-100.0,100,159.230173
-100.0,100,160.468115
-100.0,100,162.00825
-99.0,100,163.595488
-100.0,100,165.195277
-100.0,100,166.753678
-100.0,100,168.25866
-100.0,100,169.588475
-100.0,100,171.263731
-100.0,100,172.954986
-100.0,100,174.501771
-100.0,100,175.887444
-100.0,100,177.228183
-100.0,100,178.634517
-90.0,100,180.189093
-100.0,100,181.706612
-100.0,100,183.179715
-100.0,100,184.831742
-100.0,100,186.280783
-100.0,100,187.722038
-100.0,100,189.129996
-100.0,100,190.593826
-100.0,100,191.982044
-100.0,100,193.522468
-100.0,100,194.997241
-100.0,100,196.413065
-100.0,100,197.836248
-100.0,100,199.326255
-100.0,100,200.91875
-100.0,100,202.389296
-100.0,100,203.922465
-100.0,100,205.402076
-100.0,100,206.725653
-100.0,100,208.272212
-100.0,100,209.822042
-100.0,100,211.393615
-100.0,100,212.723742
-100.0,100,214.031109
-100.0,100,215.267955
-100.0,100,216.805809
-100.0,100,218.412403
-100.0,100,220.015042
-100.0,100,221.458897
-100.0,100,222.848807
-100.0,100,224.421234
-98.0,100,225.726617
-100.0,100,227.32592
-100.0,100,229.098943
-99.0,100,230.643329
-100.0,100,231.990757
-100.0,100,233.506479
-100.0,100,234.8987
-100.0,100,236.5989
-100.0,100,238.276224
-100.0,100,239.843495
-100.0,100,241.604278
-100.0,100,242.984498
-100.0,100,244.72591
-100.0,100,246.387267
-100.0,100,248.008953
-100.0,100,249.487806
-100.0,100,250.877832
-100.0,100,252.424617
-100.0,100,254.018206
-100.0,100,255.583081
-100.0,100,257.356705
-100.0,100,258.938717
-97.0,100,260.390315
-100.0,100,261.715332
-100.0,100,263.157382
-100.0,100,264.823117
-100.0,100,266.446821
-100.0,100,267.88834
-100.0,100,269.123576
-100.0,100,270.391392
-100.0,100,271.771237
-100.0,100,273.285378
-100.0,100,274.72536
-87.0,100,276.28226
-100.0,100,277.717647
-100.0,100,279.14258
-100.0,100,280.490752
-100.0,100,281.935763
-100.0,100,283.522418
-100.0,100,285.104836
-100.0,100,286.57284
-100.0,100,287.9437
-100.0,100,289.531291
-100.0,100,291.101291
-100.0,100,292.707744
-100.0,100,294.248245
-100.0,100,295.648724
-100.0,100,297.129474
-71.0,100,298.485309
-100.0,100,299.988465
-100.0,100,301.418068
-100.0,100,302.868396
-100.0,100,304.390058
-100.0,100,305.727581
-100.0,100,307.227142
-100.0,100,308.792386
-100.0,100,310.144887
-100.0,100,311.677096
-100.0,100,313.180865
-100.0,100,314.579534
-79.0,100,316.076773
-100.0,100,317.582694
-100.0,100,319.050478
-100.0,100,320.696673
-100.0,100,322.176155
-99.0,100,323.6026
-100.0,100,325.14275
-100.0,100,326.554116
-100.0,100,328.217661
-67.0,100,329.800153
-100.0,100,331.283136
-100.0,100,332.617623
-100.0,100,333.892964
-66.0,100,335.249501
-100.0,100,336.83953
-42.0,100,338.376126
-100.0,100,339.736349
-63.0,100,341.293864
-100.0,100,342.740438
-100.0,100,344.155154
-100.0,100,345.766202
-100.0,100,347.289633
-99.0,100,348.844542
-100.0,100,350.331199
-90.0,100,351.786632
-95.0,100,353.343167
-100.0,100,354.781101
-100.0,100,356.250778
-100.0,100,357.839884
-100.0,100,359.282932
-88.0,100,360.686289
-100.0,100,362.213576
-100.0,100,363.765321
-100.0,100,365.164208
-100.0,100,366.776723
-100.0,100,368.208705
-100.0,100,369.664856
-94.0,100,371.045683
-100.0,100,372.562611
-74.0,100,374.198814
-100.0,100,375.806163
-100.0,100,377.248924
-100.0,100,378.752467
-100.0,100,380.236833
-100.0,100,381.642926
-100.0,100,383.298892
-100.0,100,385.036634
-100.0,100,386.506291
-100.0,100,387.9358
-99.0,100,389.259072
-100.0,100,390.657648
-100.0,100,392.082205
-98.0,100,393.644101
-100.0,100,395.141276
-100.0,100,396.557839
-100.0,100,398.047284
-100.0,100,399.443091
-100.0,100,400.946266
-100.0,100,402.335056
-100.0,100,403.927092
-100.0,100,405.461728
-100.0,100,406.940378
-100.0,100,408.334671
-100.0,100,409.914986
-100.0,100,411.499575
-100.0,100,413.004815
-100.0,100,414.346153
-100.0,100,415.824298
-54.0,100,417.359617
-100.0,100,418.894778
-100.0,100,420.671423
-100.0,100,422.413668
-100.0,100,423.944549
-100.0,100,425.289471
-100.0,100,426.734645
-100.0,100,428.312745
