#{"t_start": 1787305788.601611, "env_id": "HandManipulateBlockRotateZ-v1"}
r,l,t
-100.0,100,2.912596
-100.0,100,3.044462
-100.0,100,3.182349
-100.0,100,3.315639
-100.0,100,3.454844
-100.0,100,3.584402
-100.0,100,3.717384
-100.0,100,3.849104
-100.0,100,3.986687
-100.0,100,4.115198
-100.0,100,4.250201
-100.0,100,4.378659
-100.0,100,4.527731
-100.0,100,4.661508
-100.0,100,4.802868
-100.0,100,4.934937
-96.0,100,5.07128
-100.0,100,5.203469
-100.0,100,5.346551
-100.0,100,5.476541
-100.0,100,5.613402
-100.0,100,5.745731
-100.0,100,5.883354
-100.0,100,6.015841
-100.0,100,6.156254
-100.0,100,6.289901
-96.0,100,6.426562
-100.0,100,6.556679
-100.0,100,6.69684
-100.0,100,6.828442
-100.0,100,6.960867
-100.0,100,7.116062
-100.0,100,7.262723
-100.0,100,7.403923
-100.0,100,7.536026
-100.0,100,7.665266
-100.0,100,7.800809
-100.0,100,7.936834
-100.0,100,8.070429
-100.0,100,8.199827
-100.0,100,8.33833
-100.0,100,8.470224
-100.0,100,8.602379
-100.0,100,8.736399
-100.0,100,8.881861
-100.0,100,9.016225
-100.0,100,9.1507
-100.0,100,9.285709
-100.0,100,9.435338
-100.0,100,9.569364
-94.0,100,9.722155
-100.0,100,9.853071
-100.0,100,9.993756
-100.0,100,10.125971
-100.0,100,10.255608
-100.0,100,10.385451
-92.0,100,10.525007
-100.0,100,10.656733
-100.0,100,10.788631
-100.0,100,10.920254
-100.0,100,11.060352
-100.0,100,11.193948
-100.0,100,11.326336
-100.0,100,11.464697
-100.0,100,11.602309
-100.0,100,11.73966
-100.0,100,11.873007
-100.0,100,12.004112
-100.0,100,12.141362
-100.0,100,12.275275
-100.0,100,12.406009
-100.0,100,12.536635
-100.0,100,12.698098
-100.0,100,12.829378
-100.0,100,12.962802
-100.0,100,13.097594
-100.0,100,13.23465
-100.0,100,13.3695
-100.0,100,13.503081
-100.0,100,13.640834
-100.0,100,13.78301
-100.0,100,13.915155
-100.0,100,14.047292
-100.0,100,14.184577
-100.0,100,14.325471
-100.0,100,14.462226
-100.0,100,14.595372
-100.0,100,14.732538
-97.0,100,14.871838
-100.0,100,15.004315
-100.0,100,15.136255
-100.0,100,15.268306
-100.0,100,15.432272
-100.0,100,15.565629
-100.0,100,15.700534
-100.0,100,15.835626
-100.0,100,15.971951
-100.0,100,16.11401
-100.0,100,16.350514
-100.0,100,16.493989
-100.0,100,18.539119
-100.0,100,19.907546
-100.0,100,21.400132
-100.0,100,23.103081
-100.0,100,24.814395
-100.0,100,26.240065
-100.0,100,27.785612
-100.0,100,29.28367
-100.0,100,30.692255
-100.0,100,32.311312
-100.0,100,33.868958
-100.0,100,35.406162
-100.0,100,36.864394
-100.0,100,38.316415
-100.0,100,39.683523
